,source,timestamp,date_str,summary
0,Yahoo,1786746295.0,2026-08-14 22:24:55 UTC,"Management put a number on the board so big it forces a question, and the market is paying up as if it's a sure thing."
1,Yahoo,1786733812.0,2026-08-14 18:56:52 UTC,"Its correlation to the market is only moderate, so much of what it does is genuinely its own, but the stock has moved several times as far as the index in both directions."
2,Yahoo,1786732046.0,2026-08-14 18:27:26 UTC,"Record revenue, a guide above Wall Street, and a stock down anyway, because the growth now arrives as hardware and the mix shift is what compresses the margin."
3,Yahoo,1786725030.0,2026-08-14 16:30:30 UTC,"Cisco just posted its strongest earnings surprise in years, yet the stock dropped sharply the next day. Whether that selloff is a warning sign or a rare entry point comes down to three catalysts that most investors are overlooking."
4,Yahoo,1786718280.0,2026-08-14 14:38:00 UTC,"The mix that produced it included contracts pushed out of the June quarter, and the September guide already takes the margin back down."
5,Yahoo,1786716000.0,2026-08-14 14:00:00 UTC,Morgan Stanley has adopted a more constructive stance on U. S.
6,Yahoo,1786712401.0,2026-08-14 13:00:01 UTC,"While flashier AI names grabbed headlines, Cisco quietly rewired itself for the infrastructure boom and just delivered numbers that stopped Wall Street's skeptics cold. The question now is whether the market has actually caught up to what the business has become."
7,Finnhub,1786706834.0,2026-08-14 11:27:14 UTC,
8,Yahoo,1786700280.0,2026-08-14 09:38:00 UTC,"Five stocks stand out as potentially undervalued by price-to-book measures, including BioMarin Pharmaceutical, Invesco and Centene."
9,Finnhub,1786673510.0,2026-08-14 02:11:50 UTC,"Rigetti Computing (RGTI) is back in focus after outlining a potential US$100 million U.S. government grant, reporting fresh progress on its 108 qubit Cepheus 1 108Q system, and highlighting deeper ties with Hewlett Packard Enterprise. See our latest analysis for Rigetti Computing. Rigetti Computing's recent headlines around the potential US$100 million grant and Cepheus-1-108Q progress have arrived alongside a 12.64% 7-day share price return and 15.58% 30-day share price return, although the..."
10,Yahoo,1786673510.0,2026-08-14 02:11:50 UTC,"Rigetti Computing (RGTI) is back in focus after outlining a potential US$100 million U.S. government grant, reporting fresh progress on its 108 qubit Cepheus 1 108Q system, and highlighting deeper ties with Hewlett Packard Enterprise. See our latest analysis for Rigetti Computing. Rigetti Computing's recent headlines around the potential US$100 million grant and Cepheus-1-108Q progress have arrived alongside a 12.64% 7-day share price return and 15.58% 30-day share price return, although the..."
11,Finnhub,1786665524.0,2026-08-13 23:58:44 UTC,"Arista Networks stock sits at its high on a multiple past anything in its ten-year record, while the margin that price depends on is already at the top of its range."
12,Yahoo,1786665524.0,2026-08-13 23:58:44 UTC,"Arista Networks stock sits at its high on a multiple past anything in its ten-year record, while the margin that price depends on is already at the top of its range."
13,Finnhub,1786663752.0,2026-08-13 23:29:12 UTC,The recurring-revenue share management once put front and center has slipped while hyperscaler orders became the story.
14,Finnhub,1786655912.0,2026-08-13 21:18:32 UTC,"Today, Aug. 13, 2026, the networking giant's stock tumbled 8.4% after earnings, as investors weighed hyperscaler AI orders against gross margin headwinds."
15,Finnhub,1786654380.0,2026-08-13 20:53:00 UTC,Check out the companies making headlines yesterday:
16,Finnhub,1786650714.0,2026-08-13 19:51:54 UTC,"Here is a way to get paid a meaningful cash income on your Seagate Technology shares right now, income you keep no matter what, in exchange for capping your gains at a higher price."
