ticker,companyName,price,volume_M,marketCap_M,sector,industry,country
ADBE,Adobe Inc. Common Stock,252.23,10.77008,100261.425,Technology,Computer Software: Prepackaged Software,United States
APP,Applovin Corporation Class A Common Stock,323.96,3.752463,108413.53796,Technology,Computer Software: Programming Data Processing,United States
CDNS,Cadence Design Systems Inc. Common Stock,289.37,2.553929,79690.47241,Technology,Computer Software: Prepackaged Software,United States
CRM,Salesforce Inc. Common Stock,247.72,9.665799,203873.56,Technology,Computer Software: Prepackaged Software,United States
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,206.74,6.639308,211688.289235,Technology,Computer Software: Prepackaged Software,United States
DDOG,Datadog Inc. Class A Common Stock,221.21,1.870067,79430.986059,Technology,Computer Software: Prepackaged Software,United States
GOOG,Alphabet Inc. Class C Capital Stock,335.45,15.792377,4102553.5,Technology,Computer Software: Programming Data Processing,United States
GOOGL,Alphabet Inc. Class A Common Stock,338.5,24.677335,4139855.0,Technology,Computer Software: Programming Data Processing,United States
GOOGM,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,48.17,1.34831,589119.1,Technology,Computer Software: Programming Data Processing,United States
GOOGN,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,48.01,0.67913,587162.3,Technology,Computer Software: Programming Data Processing,United States
HPE,Hewlett Packard Enterprise Company Common Stock,62.09,38.991452,82422.288128,Technology,Retail: Computer Software & Peripheral Equipment,United States
INTU,Intuit Inc. Common Stock,321.57,2.305473,85935.08052,Technology,Computer Software: Prepackaged Software,United States
MSFT,Microsoft Corporation Common Stock,495.63,14.510514,3680323.111704,Technology,Computer Software: Prepackaged Software,United States
MSTR,Strategy Inc Common Stock Class A,130.97,19.394189,50322.046608,Technology,Computer Software: Prepackaged Software,United States
NBIS,Nebius Group N.V. Class A Ordinary Shares,224.55,11.182955,61045.089202,Technology,Computer Software: Programming Data Processing,Netherlands
NET,Cloudflare Inc. Class A Common Stock,306.53,2.435587,109149.115039,Technology,Computer Software: Prepackaged Software,United States
NOW,ServiceNow Inc. Common Stock,132.53,10.552167,137036.02,Technology,Computer Software: Prepackaged Software,United States
NTES,NetEase Inc. American Depositary Shares,115.61,0.508136,73773.990219,Technology,Computer Software: Prepackaged Software,China
ORCL,Oracle Corporation Common Stock,150.28,79.20216,432877.18188,Technology,Computer Software: Prepackaged Software,United States
PLTR,Palantir Technologies Inc. Class A Common Stock,167.23,15.385091,401695.40346,Technology,Computer Software: Prepackaged Software,United States
SAP,SAP  SE ADS,206.36,1.720189,253514.133316,Technology,Computer Software: Prepackaged Software,Germany
SHOP,Shopify Inc. Class A Subordinate Voting Shares,128.79,10.779673,166887.50191,Technology,Computer Software: Prepackaged Software,Canada
SNOW,Snowflake Inc. Common Stock,328.99,4.487151,116067.672,Technology,Computer Software: Prepackaged Software,United States
SNPS,Synopsys Inc. Common Stock,397.38,1.177617,76152.570387,Technology,Computer Software: Prepackaged Software,United States
SPCX,Space Exploration Technologies Corp. Class A Common Stock,151.21,78.888011,2052346.357916,Technology,Computer Software: Programming Data Processing,United States
